Run,Dir,Timestamp,Response_Time_ms,Gray_Threshold,Motion_Threshold
1,C:/Temp\LGC_Perf_TC02_PreloadDisabled_01_20260513_092128_O22N3_SWV33_30_97_LGCV4_0_7-2,20260513_092128,8000.73,150,150
1,C:/Temp\LGC_Perf_TC02_PreloadDisabled_01_20260513_094447_O22N3_SWV33_30_97_LGCV4_0_7-2,20260513_094447,3875.95,150,150
